1012100284,D:\machinename\on_aflfilelist\Users\remote\Desktop\rb161019\Formulas\Custom\jieti161019\rb-10min - RB - upD-ZeroLagMACD.afl
1012100285,D:\machinename\on_aflfilelist\Users\remote\Desktop\rb161019\Formulas\Custom\jieti161019\rb-10min-b1AMA_SLOWDtrendps.afl
1012100286,D:\machinename\on_aflfilelist\Users\remote\Desktop\rb161019\Formulas\Custom\jieti161019\rb-10min-CXVOLUME7ps_cor2macd2.afl
1012100287,D:\machinename\on_aflfilelist\Users\remote\Desktop\rb161019\Formulas\Custom\jieti161019\rb-10min-CXVOLUMEps_DAYBREAKERps.afl
1012100288,D:\machinename\on_aflfilelist\Users\remote\Desktop\rb161019\Formulas\Custom\jieti161019\rb-10min-MACD_ma_Ref_1 +.afl
1012100289,D:\machinename\on_aflfilelist\Users\remote\Desktop\rb161019\Formulas\Custom\jieti161019\rb-10min-Signal_ma_Better_2 +.afl
1012100290,D:\machinename\on_aflfilelist\Users\remote\Desktop\rb161019\Formulas\Custom\jieti161019\rb-10min-yz_zhendang_form.afl
1012100291,D:\machinename\on_aflfilelist\Users\remote\Desktop\rb161019\Formulas\Custom\jieti161019\rb-10min-yz_zhendang_form2.afl
1012100292,D:\machinename\on_aflfilelist\Users\remote\Desktop\rb161019\Formulas\Custom\jieti161019\rb-15min - RB - range.afl
1012100293,D:\machinename\on_aflfilelist\Users\remote\Desktop\rb161019\Formulas\Custom\jieti161019\rb-15min - RB - YMJX(Nexrem).afl
1012100294,D:\machinename\on_aflfilelist\Users\remote\Desktop\rb161019\Formulas\Custom\jieti161019\rb-15min-b1AMA_CXVOLUMEps--.afl
1012100295,D:\machinename\on_aflfilelist\Users\remote\Desktop\rb161019\Formulas\Custom\jieti161019\rb-15min-b1AMA_MACDmaps--.afl
1012100296,D:\machinename\on_aflfilelist\Users\remote\Desktop\rb161019\Formulas\Custom\jieti161019\rb-15min-b1AMA_SLOWDtrendps--.afl
1012100297,D:\machinename\on_aflfilelist\Users\remote\Desktop\rb161019\Formulas\Custom\jieti161019\rb-15min-cxvolume5-bigwhiteblack 2016-8-25.afl
1012100298,D:\machinename\on_aflfilelist\Users\remote\Desktop\rb161019\Formulas\Custom\jieti161019\rb-15min-cxvolume5shadow.afl
1012100299,D:\machinename\on_aflfilelist\Users\remote\Desktop\rb161019\Formulas\Custom\jieti161019\rb-15min-cxvolumeyingbaoyang.afl
1012100300,D:\machinename\on_aflfilelist\Users\remote\Desktop\rb161019\Formulas\Custom\jieti161019\rb-15min-MACD_ma_EHL_5 +.afl
1012100333,D:\machinename\on_aflfilelist\Users\remote\Desktop\rb161019\Formulas\Custom\jieti161019\rb-15min-rb-pbuy_V_reversal_(lookback_5,limit_0.2,er_0.58,tp_10).afl
